5444
qstr_Recieved_damage_from Recieved_damage_from_fire!
qstr_Conquer_Dacia_to_sto Conquer_Dacia_to_stop_them_looting_Roman_provinces.
qstr_You_should_always_ho You_should_always_honor_the_gods_and_follow_their_will._As_we_can_see_in_the_Odyssee_the_gods_always_give_signes_if_they_support_someone_or_not._It_is_important_that_you_do_not_anger_a_god._A_god_is_the_worst_enemy.
qstr_It_is_important_to_a It_is_important_to_always_have_a_high_reputation_within_the_people._When_the_people_love_you,_you_can_rule_without_any_problem_and_every_order_will_be_execute_fast_and_well._But_be_aware_of_the_wrath_of_the_people.
qstr_It_is_alawys_good_to It_is_alawys_good_to_read_much._Strengthen_your_mind_with_various_activities._A_slow_mind_is_a_great_danger_for_a_Caesar._But_do_not_forget_to_strenghten_your_body_too._Physical_illnesses_can_weaken_your_mind.
qstr_Trust_nobody._This_i Trust_nobody._This_is_my_best_advise._As_Caesar,_you_are_surrounded_by_people,_who_want_to_rise_and_who_are_power-hungry._Always_watch_out._History_shows_that_many_great,_divine_rulers_have_been_murdered_by_their_own,_like_Agamemnon_or_Megas_Alexandros_for_example.
qstr_Do_not_try_to_be_the Do_not_try_to_be_the_friend_of_everyone._It_is_impossible._The_one_who_wants_to_be_the_friend_of_everyone_will_have_a_poor_live_and_a_short_reign._Lead_your_Empire_to_greatness,_even_if_this_means_that_you_have_some_enemies.
qstr_You_strengthen_your_ You_strengthen_your_mind!
qstr_To_increase_your_pow To_increase_your_power_and_renown_you_could_conquer_Germania._This_land_full_of_forests_and_uncivilized_germans_has_never_been_conquered_by_any_Roman_before._You_could_take_revenge_for_Teuteburg!
qstr_Take_revenge_for_the Take_revenge_for_the_disaster_at_Teuteburg_and_conquer_all_of_Germania_west_of_the_Albis!
qstr_The_largest_lead_and The_largest_lead_and_iron_mines_of_Europe_can_be_found_in_Britannia_we_should_consider_to_conquer_those_lands._It_would_be_important_for_our_weapon-industry_to_conquer_Britannia.
qstr_Conquer_Britannia_to Conquer_Britannia_to_gain_control_over_important_resources.
qstr_{s1}_{s2} {s1},_{s2}
qstr_{reg52}_denars_have_ {reg52}_denars_have_been_added_to_household-costs.
qstr_You_marched_with_you You_marched_with_your_troops_in_the_center_to_attack_your_opponent,_but_soon_he_outflanks_you_and_you_were_surrounded._You_have_lost_but_made_a_lot_of_experience.
qstr_Tactical_Training Tactical_Training
qstr_You_wait_that_your_o You_wait_that_your_opponent_attacks_you_and_you_positioned_some_troops_to_secure_the_flanks._Fast_the_enemy_rushes_forward._But_as_the_battle_started,_your_enemies_slowly_fall_back._Soon_you_are_surrounded._You_lost_but_made_a_lot_of_experience.
qstr_You_attack_your_oppo You_attack_your_oppon+_and_try_to_surround_him_with_a_flank_move._But_he_counters_retreat_from_the_center_and_rushes_with_his_skirmishes_to_your_flanks._It_is_a_draw._You_learned_a_lot_from_this_combat.
qstr_You_march_forward_wi You_march_forward_with_your_men._As_you_engage_the_enemy,_you_order_your_skirmishers_to_threaten_his_flanks._Meanwhile_you_order_to_slowly_fall_back_in_the_center._Soon_your_opponent_was_surrounded._You_won._You_learned_a_lot_from_this_combat.
qstr_In_a_heroic_frontal_ In_a_heroic_frontal_charge_you_overrun_your_opponent_and_won_the_battle.
qstr_The_Roman_Empire_sho The_Roman_Empire_should_take_control_over_Mesopotamia,_as_it_is_an_important_and_fertile_region._Those_Parthians_do_not_deserve_it.
qstr_Conquer_Mesopotamia_ Conquer_Mesopotamia_to_gain_another_fertile_province_for_the_Roman_Empire.
qstr_Libelli_offices_is_d Libelli_offices_is_dismissed._Now_you_must_handle_petitions_by_yourself_again.
qstr_Your_advicer_looks_p Your_advicer_looks_pleased.
qstr_Your_action_gives_Pa Your_action_gives_Parthia_a_casus_belli_to_attack_the_Empire.
qstr_Stability_of_the_Empire Stability_of_the_Empire_improved.
qstr_You_drink_a_lot_from You_drink_a_lot_from_the_wine,_it_tastes_delicious.
qstr_Hi_Hi_Hi._Here_drink Hi_Hi_Hi._Here_drink_more_wine_..._more_wine_..._yes_so_much_wine..._arghh_uff
qstr_Ah_more_wine_bring_m Ah_more_wine,_bring_me_more_wine._Hahaha_hihihi_HoHoHo!!!
qstr__....__Oh_my_head_th _....__Oh_my_head_this_was_too_much_wine,_arg_..._kiss_me_come_kiss_me...._hi_hi_he_ha_hi
qstr_Search_for_a_witch_c Search_for_a_witch_called_Hunna,_near_Baduhenna's_sanctuary.
qstr_You_feel_strenghtene You_feel_strenghtened.
qstr_You_feel_something_s You_feel_something_strange.
qstr_You_feel_something_a You_feel_something,_actually_you_do_not_know_what_you_feel._Probably_nothing.
qstr_Maybe_the_gods_have_ Maybe_the_gods_have_heard_your_call!
qstr_Your_men_are_getting Your_men_are_getting_tired_of_listening_to_the_same_old_stories_about_the_gods._Perhaps_it's_time_to_let_it_go_for_a_while.
qstr_Ave_pilgrim!_How_can Ave_pilgrim!_How_can_I_help_you,_but_hurry_up,_there_are_others_who_may_need_may_help_too.
qstr_Ave._How_can_I_serve Ave._How_can_I_serve_you?
qstr_Salve._Are_you_a_fol Salve._Are_you_a_follower_of_our_gods?_Do_you_seek_the_favour_of_Mars_to_defeat_your_enemies_and_give_you_strength?
qstr_Ave!_Do_you_seek_kno Ave!_Do_you_seek_knowledge_and_strength_from_Mithras?
qstr_Salve._Come_here_and Salve._Come_here_and_praise_with_us_Jupiter,_the_father_of_the_gods,_who_stops_your_enemies.
qstr_Salve._Do_you_seek_t Salve._Do_you_seek_the_help_of_Castor_and_Pollux_for_your_sea_travells?
qstr_Salve._Do_you_need_t Salve._Do_you_need_the_blessings_of_Saturn_for_a_good_harvest?
qstr_Salve._What_can_I_do Salve._What_can_I_do_for_you?
qstr_Salve_my_handsome._D Salve,_my_handsome._Do_you_seek_the_blessings_of_Aphrodite?_The_goddess_of_true_beauty?_To_become_even_more_beautiful,_I_suppose_(she_smiles).
qstr_Salve._Do_you_need_th Salve._Do_you_need_the_blessings_of_Vesta_for_the_protection_of_your_home_and_lands?
qstr_You_descended_into_H You_descended_into_Hades_and_talked_with_several_great_figures._Among_them_the_oracle_Teiresias_foretold_your_future:_One_day_you_would_bear_the_title_of_Caesar_Augustus_and_rule_in_Rome.
qstr_Now_I_have_Darta._I_ Now_I_have_Darta._I_should_ask_for_a_huge_reward.
qstr_I_don_t_have_Darta._ I_don't_have_Darta._I_will_tell_that_she_was_killed_by_a_snake_or_something_like_that.
qstr_Ah_you_must_be_{play Ah_you_must_be_{playername}._Finally_I_have_the_chance_to_meet_you.
qstr_Do_I_know_you? Do_I_know_you?
qstr_Hallo_{playername}?_ Hallo,_{playername}?_It_is_always_a_pleasure_to_meet_you.
qstr_What_brings_you_here What_brings_you_here_today?
qstr_Ah_{playername}._I_d Ah_{playername}._I_don't_have_much_time_for_you_...
qstr_You_again._I_don_t_t You_again._I_don't_think_I_have_the_time_to_talk_with_you_...
qstr_Interesting._Hopefull Interesting._Hopefully_it_is_something_from_faraway._I_like_such_stuff.
qstr_I_like_people_who_mak I_like_people_who_make_me_presents._Well_lets_see_what_you_have_brought_me.
qstr_Actually_I_do_not_thi Actually_I_do_not_think_that_it_is_good_that_you_bring_me_son_many_presents._Well_but_I_am_nonetheless_curious_what_you_have_brought.
qstr_A_present?_Sounds_goo A_present?_Sounds_good._I_like_especially_expansice_stuff.
qstr_How_nice_from_you._I How_nice_from_you._I_think_it_is_important_that_man_show_their_affection_for_women_with_presents._Now_lets_see_what_it_is.
qstr_I_like_presents_espec I_like_presents,_especially_expensive_ones._Well_lets_see_what_you_have_brought_me.
qstr_I_have_so_many_{s21} I_have_so_many_{s21}_seen_in_the_last_days._I_can't_see_anything_more._But_well,_I_will_take_your_present.
qstr_Thank_you._It_is_alwa Thank_you._It_is_always_beautiful_to_see_peoples_appreciation._Although_I_had_hopped_it_would_be_something_more_'special'.
qstr_Oh_Thank_you._I_am_s Oh_Thank_you._I_am_sure_it_was_dangerous_to_get_or_at_least_very_expensive._(She_hugs_you.)
qstr_Women_are_strange_cr Women_are_strange_creatures.
qstr_{s30}_told_you_she_w {s30}_told_you_she_was_kidnapped_by_the_Garamantians._Visit_the_Gaetuli,_maybe_her_father,_the_king_of_the_Gaetulians,_pays_well_for_information_about_his_lost_daughter.
qstr_I_am_{s30}_the_wife_ I_am_{s30},_the_wife_of_{s31}_and_queen_of_the_{s32}.
qstr_I_am_{s30}_the_daugt I_am_{s30},_the_daugther_of_{s31}_and_princess_of_the_mighty_Gaetulian_people.
qstr_I_am_{s30}_wife_of_{ I_am_{s30},_wife_of_{s31}_and_the_queen_of_the_{s32}.
qstr_Anything_else_my_hon Anything_else,_my_honorable_{playername}?
qstr_There_are_other_thin There_are_other_things_that_I_have_to_do,_you_may_want_to_leave?
qstr_Finally_I_meet_you_{ Finally_I_meet_you,_{playername}._What_do_you_want?
qstr_Finally_I_meet_you._ Finally_I_meet_you._What_do_you_want?
qstr_You_are_the_butcher_ You_are_the_butcher_of_my_people?_What_do_you_want?
qstr_You_smelly_jackal_ar You_smelly_jackal_are_the_butcher_of_my_people?_What_do_you_want?
qstr_Greetings._What_do_y Greetings._What_do_you_want,_{playername}?
qstr_Hopefully_you_bring_ Hopefully_you_bring_good_news._What_do_you_want?
qstr_What_do_you_want? What_do_you_want?
qstr_I_don_t_think_there_ I_don't_think_there_is_much_to_talk_about._But_hopefully_you_surprise_me.
qstr_Ah_yes_{playername}_ Ah_yes,_{playername},_I_have_heard_from_you_many_good_things.
qstr_I_don_t_think_I_have I_don't_think_I_have_ever_heard_from_you.
qstr_You_are_{playername} You_are_{playername}._I_have_heard_from_you,_but_I_don't_like_what_I_heard.
qstr_{playername}!_I_have {playername}!_I_have_heard_from_you._Have_you_come_to_bring_us_plagues?
qstr_It_is_always_nice_to It_is_always_nice_to_meet_you_again,_{playername}?
qstr_Ah_you_again. Ah,_you_again.
qstr_Are_you_here_to_puni Are_you_here_to_punish_me_with_your_sight?
qstr_Have_you_come_to_bri Have_you_come_to_bring_a_plague_over_my_people?
qstr_Anything_else_{playe Anything_else,_{playername}?
qstr_Well._I_hope_you_wil Well._I_hope_you_will_leave_us_soon...
qstr_Your_tributary_has_d Your_tributary_has_declared_independence.
qstr_You_talked_with_{s17 You_talked_with_{s17},_king_of_the_{s18}._Now_investigate_to_Zarinaia's_burial_mound.
qstr_I_have_talked_with_{ I_have_talked_with_{s20}_about_his_daughter._I_will_rescue_her_and_bring_her_back_to_{s20}._I_am_sure_he_will_pay_me_well._Maybe_I_can_persuade_Gadarat_to_sell_his_wife_to_me?_Or_should_I_use_violence?
qstr_I_should_look_for_an I_should_look_for_an_ally_in_the_palace.
qstr_Quest_notes_have_bee Quest_notes_have_been_updated
qstr_Fight_your_way_out! Fight_your_way_out!
qstr_I_have_talked_with_{s I_have_talked_with_{s20}_about_his_wife._It_seems_like_he_wants_to_hide_something.
qstr_I_don_t_think_you_ar I_don't_think_you_are_wealthy_and_mighty_enough_to_lead_our_warriors_in_battle._^^(Hint:_You_need_one_gold_item_in_your_inventory)
qstr_I_listen_what_you_ha I_listen_what_you_have_to_offer.
qstr_Meet_the_hunting_par Meet_the_hunting_party_in_{s1}.
qstr_I_have_proud_you_a_g I_have_proud_you_a_gift_as_a_sign_of_my_goodwill.
qstr_I_accept_your_propos I_accept_your_proposal._But_you_must_pay_us_{reg50}_denars,_as_a_sign_of_your_goodwill.
qstr_We_won_t_make_peace_ We_won't_make_peace_with_you_jackal!_Now_go_away._Hopefully_the_lions_will_kill.
qstr_Amorus_Valentinus_do Amorus_Valentinus_doesn't_seem_to_be_a_problem_anymore.
qstr_Those_strangers_look Those_strangers_look_interesting._Maybe_they_are_usefull_to_get_some_money._(To_visit_them,_talk_with_Petronius,_who_can_be_found_in_the_streets_of_Rome.)
qstr_You_feel_good_to_hav You_feel_good_to_have_helped
qstr_Praying_to_God_impro Praying_to_God_improves_your_reputation_as_Christ!
qstr_You_feel_something_st You_feel_something_strange,_maybe_the_end_is_near?
qstr_Visit_the_prison_of_ Visit_the_prison_of_Rome_and_talk_with_Paulus.^(Hint:_Talk_with_the_prison_guard)
qstr_Bring_8_loads_of_oil Bring_8_loads_of_oil_to_Muscullus._(To_find_him_talk_with_Petronius,_who_can_be_found_in_the_streets_of_Rome)
qstr_{s33}_lost_1_point_o {s33}_lost_1_point_of_leadership
qstr_{s33}_lost_1_point_of {s33}_lost_1_point_of_charisma
qstr_{s33}_didn_t_suffer_ {s33}_didn't_suffer_any_injuries
qstr_As_nobody_nows_what_ As_nobody_nows_what_you_are_doing_here,_you_do_not_lose_honor!
qstr_You_feel_good_to_have You_feel_good_to_have_helped.
qstr_What_do_you_want?_Ca What_do_you_want?_Can't_you_see_that_I_am_busy?
qstr___He_looks_at_you_im --He_looks_at_you,_impressed_by_your_greatness.--_What_can_I,_a_humble_servant,_do_for_you?
qstr_Is_there_anything_I_ Is_there_anything_I_can_do_for_you?_But_please_hurry_up,_I_have_a_lot_of_work_do_to.
qstr_I_have_a_good_load_o I_have_a_good_load_of_mineral_available.
qstr_I_have_loads_of_both I_have_loads_of_both_mineral_and_stone_available.
qstr_I_have_a_good_load_of I_have_a_good_load_of_stone_available.
qstr_I_have_some_soapston I_have_some_soapstone_available.
qstr_Ave_{playername}._Le Ave_{playername}._Let_us_raise_our_cups_for_you,_our_generous_host!
qstr_{playername}_it_is_a {playername},_it_is_an_honor_for_me_to_attend_on_your_feasts.
qstr_{playername}_come_my {playername},_come_my_friend,_here_take_something_to_drink._The_wine_is_delicious_and_the_food_too.
qstr_Have_you_something_i Have_you_something_important_to_say?_I_just_wanted_to_get_more_wine_...
qstr_rar rar
qstr_This_production_side This_production_side_would_need_{reg22}_slaves_to_work_properly.
qstr_Before_we_sent_exped Before_we_sent_expeditions_it_is_the_best_to_win_the_civil_war.
qstr_Take_care_of_his_wif Take_care_of_his_wife_too.
qstr_Make_sure_his_wife_i Make_sure_his_wife_is_burried_properly_too.
qstr_Prepare_for_battle._ Prepare_for_battle._If_you_have_more_than_30_men_talk_to_the_Parthian_Agent_in_Alexandria_tavern.
qstr_Convince_the_governo Convince_the_governor_of_Alexandria_to_allow_the_Parthian_Agent_into_the_Great_Library._Nero_can_also_grant_access.
qstr_You_have_rejected_a_ You_have_rejected_a_Parthian_agent's_offer_of_cooperation_on_the_Thundergod_matter._Report_to_Nero.
qstr_Meet_the_Parthian_ag Meet_the_Parthian_agent_in_Thebae.
qstr_When_my_darling_Supe When_my_darling_Superbius_and_I_escaped_from_the_legion,_we_were_wanted_fugitives._We_lived_on_the_run,_going_from_one_city_to_another,_taking_odd_jobs._Sooner_or_later_people_started_asking_questions_wherever_we_went_and_we_had_to_move_on._It_was_a_hard_life,_but_we_managed,_at_least_until_we_got_to_Rome.
qstr_After_we_were_nailed After_we_were_nailed_to_the_cross_the_legion_marsched_on._But_we_were_lucky._After_some_hours_bandits_found_us_and_helped_us._They_treated_our_wounds._But_they_demanded_our_help_as_a_price_for_helping_us._Soon_we_had_enough_from_the_bandit_life_and_run_away_again._This_time_we_had_more_luck_and_somehow_managed_to_go_to_Rome.
qstr_That_night_town_guar That_night,_town_guards_descend_on_the_gang's_hideouts._Loot_is_confiscated_and_many_criminals_are_prosecuted_in_a_public_show._The_Roman_crowds_cheer_law_and_order.
qstr_Persuade_Nero_to_out Persuade_Nero_to_outlaw_dumping_human_waste_in_the_streets_and_sell_Pupienus_a_concession_to_build_public_toilets.
qstr_{s1}_asked_you_to_es {s1}_asked_you_to_escort_him_to_Ctesiphon._If_you_finish_successfully,_he_will_teach_you_his_knowledge.
qstr_Report_back_to_Caesa Report_back_to_Caesar_Nero.
qstr_It_is_clear_that_she It_is_clear_that_she_has_no_lover._Go_and_talk_with_{s39}
qstr_{s37}_is_item {s37}_is_item
qstr_Meet_Gaius_Desperati Meet_Gaius_Desperatius_in_his_villa_in_{s23}._You_will_recieve_1,000_denars._He_promised_you_more,_if_you_help_him.
qstr_Obtain_an_arrow_of_C Obtain_an_arrow_of_Cupid_from_the_local_leader_of_{s23}.
qstr_Travel_to_{s23}_and_f Travel_to_{s23}_and_find_out_more_about_Tristitia.^(Hint:_Walk_through_the_village_center_to_find_her_villa.)^^Cupid's_arrow_will_be_your_reward_if_you_find_a_proper_way_to_resolve_this_issue.
qstr_Raid_the_village_of_ Raid_the_village_of_{s23}_and_make_sure_Tristitia's_husband_dies_during_the_raid.^^Alternately,_warn_Tristitia_about_Desperatius_scheme.
qstr_A_man_celebrating_wi A_man_celebrating_wild_parties_in_the_caves_of_Dionysus_has_asked_you_to_revoke_the_law_'Senatus_consultum_de_Bacchanalibus'.
qstr_Travel_to_{s23}_and_r Travel_to_{s23}_and_revoke_the_law_'Senatus_consultum_de_Bacchanalibus'_during_a_senate_meeting.
qstr_The_cult_of_Mithras_ The_cult_of_Mithras_has_established_a_temple_in_Rome.
qstr_Olivarius_asked_you_ Olivarius_asked_you_to_discover_what_happened_to_Wlodowiecus_expedition.
qstr_Travel_to_{s23}_and_a Travel_to_{s23}_and_ask_the_magister_civium_about_a_caravan_heading_towards_the_Indian_town_of_Sagala.
qstr_It_is_not_allowed_to It_is_not_allowed_to_meet_Queen_Karishma.
qstr_You_have_found_Wlodo You_have_found_Wlodowiecus._He,_together_with_his_companions,_has_been_imprisoned_by_Karishma.
qstr_Meet_Mancinellus_in_ Meet_Mancinellus_in_the_tavern_of_{s33}.
qstr_Hadrianus_asked_you_ Hadrianus_asked_you_to_travel_to_{s23}_and_find_more_out_about_his_family.
qstr_A_new_location_is_no A_new_location_is_now_available_on_the_map
qstr_Bring_Thusnelda_a_po Bring_Thusnelda_a_potion_which_makes_her_look_older._Its_the_best_to_ask_Hunna_for_such_a_postion.
qstr_Ad_mortem!_Travel_to Ad_mortem!_Travel_to_Sicily_to_find_Amokos_Impostos_and_Claudia_Urgulanallia,_the_friends_of_Gaius_Temeritus._Ask_them_about_the_entrance_to_the_underworld_and_then_throw_a_coin_into_the_entrance.
qstr_You_need_to_establis You_need_to_establish_yourself_among_the_Roman_nobility._One_option_is_to_join_the_Roman_army_and_rise_through_the_ranks_to_become_finally_part_of_Roman_nobility.^^Goal:_Have_the_rank_of_tribunus_militaris.
qstr_You_need_to_establish You_need_to_establish_yourself_among_the_Roman_nobility._In_Rome_its_all_about_money._One_option_is_to_become_a_rich_landowner_to_finally_rise_into_nobility.^^Goal:_have_200,000_denars,_own_5_latifundia_and_have_a_renown_of_at_least_200.
qstr_By_chance_you_met_An By_chance_you_met_Antonia,_the_daughter_of_Claudius._She_convinced_you_to_join_her_scheme_to_overthrow_Nero._As_a_first_part,_you_need_to_establish_yourself_among_the_Roman_nobility._Once_done,_you_will_recieve_a_message_from_her.^^(Goals:_Be_part_of_the_Roman_Empire,_either_as_noble,_governor_or_tribune.)
qstr_Travel_to_{s9}_capit Travel_to_{s9},_capital_of_the_{s10},_and_find_out_more_about_queen_Zarinaia._Write_everything_down_and_bring_your_scripts_back_to_Pamphile_who_can_be_found_in_{s11}.
qstr_Hint:_Start_with_tal Hint:_Start_with_talking_with_town_walkers_in_{s9}.
qstr_{!}DEBUG____Total_pro {!}DEBUG_--_Total_production_for_{s4}:_{reg4}
qstr_{!}DEBUG____Total_ru {!}DEBUG_--_Total_rural_production_for_{s4}_region:_{reg4}
qstr_{!}DEBUG____Total_tr {!}DEBUG_--_Total_trade_for_{s4}:_{reg4}
qstr_{!}DEBUG____Total_at {!}DEBUG_--_Total_attacks_for_{s4}:_{reg4}
qstr_I_want_to_plunder_an I_want_to_plunder_and_retain_{s1}_for_myself._{s2}
qstr_me me
qstr_I_want_to_plunder_{s I_want_to_plunder_{s1}._The_governor_of_the_province,_{s2},_shall_overtake_its_rule_later.
qstr_Breaking_camp... Breaking_camp...
qstr_You_receive_a_letter You_receive_a_letter_from_{s30},_stating_that_your_love_affair_must_come_to_an_end._But_you_will_be_always_in_her_heart_...
qstr_A_letter A_letter
qstr_You_have_been_inform You_have_been_informed_that,_while_you_were_busy,_away_from_your_home,_your_wife_took_a_lover,_a_man_known_as_{s33}._You_discover_that_the_rumors_had_already_been_flying.
qstr_Adultery_Discovered Adultery_Discovered
qstr_Your_love_affair_wit Your_love_affair_with_{s33}_has_been_discovered.
qstr_You_hear_that_{s43}_ You_hear_that_{s43}_took_a_lover,_a_man_known_as_{s33}._The_rumors_already_fly_high._If_you_have_already_cast_an_eye_on_her,_now_is_the_time_to_strike.
qstr_You_recieve_a_letter You_recieve_a_letter_from_{s21}._The_scheme_worked_well._However,_several_rumourss_have_hit_your_reputation_with_{s31}.
qstr_You_recieve_a_letter_ You_recieve_a_letter_from_{s21}._The_scheme_failed!_{s31}_was_not_amused_when_he_heard_about_it.
qstr_You_recieve_a_letter1 You_recieve_a_letter
qstr_It_seems_that_{s31}_ It_seems_that_{s31}_has_found_recent_stories_about_{s32}'s_infidelity_plausible.
qstr_It_appears_{s31}_has It_appears_{s31}_has_dismissed_recent_stories_about_{s32}'s_infidelity_as_nothing_but_his_enemies'_gossip.
qstr_Rumors Rumors
qstr_It_seems_that_{s31}_h It_seems_that_{s31}_has_found_recent_stories_about_{s32}'s_disloyalty_quite_plausible.
qstr_It_appears_that_{s31 It_appears_that_{s31}_has_dismissed_recent_stories_about_{s32}'s_disloyalty_as_nothing_but_his_enemies'_gossip.
qstr_It_seems_that_{s31}_w It_seems_that_{s31}_was_not_amused_after_{s32}_was_found_to_be_involved_in_a_murder_of_an_important_person.
qstr_It_appears_{s32}_had It_appears_{s32}_had_managed_to_avoid_being_linked_to_a_recent_murder,_and_his_relations_with_{s31}_didn't_suffer.
qstr_It_is_well_known_tha It_is_well_known_that_{s32}_dislikes_{s31}._Now_you_hear_people_say_that_{s31}_has_brought_beautiful_jewellry_as_present_for_{s32}.
qstr_{s40}_has_spread_fal {s40}_has_spread_false_rumors_about_you!
qstr_You_hear_that_{s31}_ You_hear_that_{s31}_gave_a_speech_in_{s30}._In_his_speech_he_said_that_you_are_a_dishonerable_man,_not_more_worth_then_a_beggar!_He_also_said_that_you_abuse_your_office_and_do_many_other_crimes._The_people_of_{s30}_believed_him!_Your_relationship_with_{s30}_is_hurt!
qstr_You_hear_that_{s31}_g You_hear_that_{s31}_gave_a_speech_in_{s30}._In_his_speech_he_said_that_you_are_a_dishonerable_man,_not_more_worth_then_a_beggar!_He_also_said_that_you_abuse_your_office_and_do_many_other_crimes._His_speech_was_a_disaster!_The_people_of_{s30}_throw_him_out_of_the_city!
qstr_You_hear_that_{s31}_ga You_hear_that_{s31}_gave_a_speech_before_the_senate._In_his_speech_he_said_that_you_are_a_dishonerable_man,_not_more_worth_then_a_beggar!_He_also_said_that_you_abuse_your_office_and_do_many_other_crimes._Some_senators_stopped_supporting_you.
qstr_You_hear_that_{s31}_gav You_hear_that_{s31}_gave_a_speech_before_the_senate._In_his_speech_he_said_that_you_are_a_dishonerable_man,_not_more_worth_then_a_beggar!_He_also_said_that_you_abuse_your_office_and_do_many_other_crimes._His_speech_has_not_effected_the_opinion_of_the_senators.
qstr_You_have_broken_off_ You_have_broken_off_your_raid_of_{s1}.
qstr_As_tribunus_you_gai As_tribunus,_you_gain_fame.
qstr_As_praefectus_you_g As_praefectus,_you_gain_fame.
qstr_As_legatus_you_gain As_legatus,_you_gain_fame.
qstr_The_extravagant_part The_extravagant_parties_of_your_spouse_are_famous.
qstr_The_Empire_seems_qui The_Empire_seems_quiet._Stability_increases
qstr_People_have_trust_in People_have_trust_in_a_better_future._Stability_increases
qstr_Due_to_the_Edictum_d Due_to_the_Edictum_de_libelli,_unrest_rises_in_the_Empire._Stability_decreases
qstr_Due_to_the_Lex_Alime Due_to_the_Lex_Alimenta,_stability_increases.
qstr_Due_your_debts_unres Due_your_debts_unrest_rises._Stability_decreases.
qstr_Your_debts_undermine Your_debts_undermine_your_authority.
qstr_{s1}_paid_{reg1}_wag {s1}_paid_{reg1}_wages_for_{s2}
qstr_{s2}_party_size:_{re {s2}_party_size:_{reg1}_(before)
qstr_{s1}_paid_{reg1}_den {s1}_paid_{reg1}_denars_to_hire_troops_for_{s2}
qstr_{s2}_party_size:_{reg {s2}_party_size:_{reg1}_(after)
qstr_{s33}_donates_money_ {s33}_donates_money_to_the_townwatch_of_{s34}.
qstr_{reg50}_new_wealth_f {reg50}_new_wealth_for_{s50}._Wealth_added:_{reg51}._Wages_paid:_{reg49}
qstr_Check_2 Check_2
qstr_It_is_said_that_{s44 It_is_said_that_{s44}_has_tortured_{s45}_and_most_people_believe_the_stories.
qstr_Some_people_say_that Some_people_say_that_{s44}_has_tortured_{s45},_but_most_people_think_this_is_only_enemy_gossip.
qstr_It_seems_someone_wen It_seems_someone_went_through_your_inventory_and_stole_some_of_your_{s33}.
qstr_{!}DEBUG____Doing_po {!}DEBUG_--_Doing_political_calculations_for_{s9}
qstr_{s55}_seems_to_be_an {s55}_seems_to_be_angry_for_not_owning_a_fief.
qstr_A_livestock_epidemic A_livestock_epidemic_has_killed_{reg4}_cattle_in_{s4}.
qstr_A_livestock_epidemic_ A_livestock_epidemic_has_killed_{reg5}_sheep_in_{s4}.
qstr_A_livestock_epidemic_h A_livestock_epidemic_has_killed_{reg50}_horses_in_{s4}.
qstr_A_livestock_epidemic_ha A_livestock_epidemic_has_killed_{reg50}_horses_and_{reg5}_sheep_in_{s4}.
qstr_A_livestock_epidemic_has A_livestock_epidemic_has_killed_{reg50}_horses_and_{reg4}_cattle_in_{s4}.
qstr_A_livestock_epidemic_has_ A_livestock_epidemic_has_killed_{reg4}_cattle_and_{reg5}_sheep_in_{s4}.
qstr_A_livestock_epidemic_has_k A_livestock_epidemic_has_killed_{reg4}_cattle_and_{reg5}_sheep_and_{reg50}_horses_in_{s4}.
qstr_You_are_informed_that You_are_informed_that_the_preparations_for_your_feast_in_the_Domus_Mare_are_finished._Visit_the_Domus_Mare_to_start_the_feast.
qstr_You_receive_a_message You_receive_a_message:_{s40}_is_grateful_to_be_invited_and_will_attend_to_the_feast.
qstr_You_receive_a_message: You_receive_a_message:_{s40}_won't_attend_to_the_feast.
qstr_{s40}_deceased_and_w {s40}_deceased_and_won't_attend_to_the_feast.
qstr_You_have_an_outstand You_have_an_outstanding_debt_of_{reg1}_denars_with_{s15}
qstr_Facing_total_defeat Facing_total_defeat,_{s10}_committed_suicide.
qstr_reg7_is_bugged:_{s1} reg7_is_bugged:_{s1}.
qstr_Village_farmers_part Village_farmers_party_slot_is_bugged_(value_=_{s2})_for_{s1},_reset_it.
qstr_You_keep_working_har You_keep_working_hard_for_this_village...
qstr_Your_strenuous_villa Your_strenuous_village_work_ends.
qstr_Farmers_from_{s35}_h Farmers_from_{s35}_have_commited_crimes_and_will_be_crucified.
qstr_Your_party_is_spotte Your_party_is_spotted_by_{s1}.
qstr_Rumors_reach_you_tha Rumors_reach_you_that_the_secret_trial_had_no_outcome.
qstr_Secret_trial_ends Secret_trial_ends
qstr_The_secret_trial_had The_secret_trial_had_no_outcome_as_you_left_{s22}._Though_you_are_now_a_wanted-criminal_in_{s22}.
qstr_Party_has_nothing_to Party_has_nothing_to_eat!
qstr_You_recieve_your_rat You_recieve_your_rations.
qstr_re_initializing_bann re-initializing_banner_info
qstr_{reg1}_{s1}_{reg2?ha {reg1}_{s1}_{reg2?have:has}_escaped_from_your_party_during_the_night.
qstr_Building_of_{s20}_ha Building_of_{s20}_has_been_finsihed_in_{s19}
qstr_Error:_{s55}_still_h Error:_{s55}_still_has_slave_icon,_removed_it._Report_this_bug
qstr_{s1}_has_won_the_com {s1}_has_won_the_competition_at_{s2}.
qstr_You_spend_the_night_ You_spend_the_night_in_your_villa_and_don't_have_to_pay_for_accommodation.
qstr_You_are_within_the_w You_are_within_the_walls_of_an_affiliated_family_member_and_don't_have_to_pay_for_accommodation.
qstr_You_pay_for_accommod You_pay_for_accommodation.
